i,X1,Y1,Z1,M1,X2,Y2,Z2,M2,XDIFF,YDIFF,ZDIFF,MDIFF,420,116,8
302,-1532,723,-152,1700.8,-1160,865,-136,1453.4,372,142,16,-247.5,,,
303,-1440,835,41,1665.1,-1077,956,71,1441.8,363,121,30,-223.2,,,
304,-1422,815,197,1650.8,-1040,947,230,1425.2,382,132,33,-225.6,,,
305,-1380,795,320,1624.4,-1000,925,342,1404.5,380,130,22,-220.0,,,
306,-1365,691,473,1601.4,-997,830,487,1385.7,368,139,14,-215.7,,,
307,-1397,530,537,1587.7,-1025,678,581,1359.4,372,148,44,-228.4,,,
308,-1410,328,653,1588.1,-1012,476,696,1317.2,398,148,43,-270.9,,,
309,-1385,158,752,1583.9,-1000,300,782,1304.4,385,142,30,-279.5,,,
310,-1367,-28,830,1599.5,-972,116,863,1305.0,395,144,33,-294.5,,,
311,-1335,-210,871,1607.8,-943,-63,895,1301.6,392,147,24,-306.2,,,
312,-1340,-353,851,1626.2,-941,-217,878,1305.2,399,136,27,-321.0,,,
313,-1382,-542,760,1667.7,-980,-406,795,1325.6,402,136,35,-342.1,,,
314,-1467,-693,600,1729.8,-1075,-547,621,1356.6,392,146,21,-373.2,,,
315,-1597,-738,342,1792.2,-1197,-602,357,1386.6,400,136,15,-405.6,,,
316,-1687,-728,-3,1837.4,-1288,-592,-1,1417.5,399,136,2,-419.8,,,
317,-1720,-555,-488,1872.0,-1298,-451,-415,1435.4,422,104,73,-436.6,,,
318,-1587,-245,-843,1813.6,-1192,-167,-790,1439.7,395,78,53,-373.9,,,
319,-1300,101,-1123,1720.9,-883,210,-1090,1418.4,417,109,33,-302.4,,,
320,-937,376,-1255,1610.7,-490,468,-1230,1404.3,447,92,25,-206.4,,,
321,-562,436,-1366,1540.1,-151,532,-1308,1420.1,411,96,58,-120.0,,,
322,-285,388,-1445,1523.1,153,441,-1410,1485.3,438,53,35,-37.8,,,
323,-90,121,-1556,1563.3,330,180,-1507,1553.2,420,59,49,-10.1,,,
324,-52,-190,-1615,1627.0,372,-128,-1572,1620.5,424,62,43,-6.5,,,
325,-232,-373,-1622,1680.4,213,-315,-1585,1630.0,445,58,37,-50.5,,,
326,-392,-416,-1622,1719.8,53,-328,-1577,1611.6,445,88,45,-108.1,,,
327,-560,-252,-1582,1697.0,-128,-170,-1566,1580.4,432,82,16,-116.6,,,
328,-795,21,-1501,1698.7,-322,93,-1491,1528.2,473,72,10,-170.5,,,
329,-937,252,-1356,1667.4,-515,338,-1350,1483.9,422,86,6,-183.5,,,
330,-1135,373,-1165,1668.7,-746,476,-1126,1432.1,389,103,39,-236.6,,,
331,-1280,453,-982,1675.7,-871,580,-972,1428.2,409,127,10,-247.5,,,
332,-1330,600,-825,1676.2,-941,721,-808,1434.6,389,121,17,-241.5,,,
333,-1377,761,-622,1691.8,-975,900,-581,1448.5,402,139,41,-243.3,,,
334,-1355,905,-451,1690.7,-995,1021,-415,1484.8,360,116,36,-205.9,,,
335,-1357,971,-306,1696.4,-977,1111,-282,1506.1,380,140,24,-190.3,,,
336,-1285,1086,-213,1695.9,-906,1215,-172,1525.3,379,129,41,-170.5,,,
337,-1190,1197,-147,1694.3,-806,1341,-128,1569.8,384,144,19,-124.5,,,
338,-1110,1298,-26,1708.1,-723,1423,0,1596.1,387,125,26,-112.0,,,
339,-1012,1366,125,1704.6,-646,1492,146,1632.4,366,126,21,-72.2,,,
340,-897,1338,511,1690.0,-550,1485,506,1662.5,347,147,-5,-27.5,,,
341,-700,1111,1027,1667.0,-330,1217,1116,1683.9,370,106,89,16.8,,,
342,-355,575,1488,1634.3,6,678,1535,1678.1,361,103,47,43.8,,,
343,-125,16,1615,1619.9,253,128,1655,1679.1,378,112,40,59.2,,,
344,-40,-653,1508,1643.8,350,-590,1543,1688.6,390,63,35,44.8,,,
345,-85,-1273,1160,1724.3,318,-1175,1207,1714.2,403,98,47,-10.1,,,
346,-305,-1613,757,1807.7,141,-1525,798,1726.9,446,88,41,-80.8,,,
347,-600,-1741,478,1902.5,-163,-1626,498,1708.3,437,115,20,-194.2,,,
348,-1002,-1668,210,1957.1,-582,-1560,261,1685.4,420,108,51,-271.8,,,
349,-1382,-1455,46,2007.3,-975,-1336,83,1656.0,407,119,37,-351.2,,,
350,-1732,-1083,-162,2049.1,-1298,-971,-126,1625.9,434,112,36,-423.2,,,
351,-1920,-605,-362,2045.4,-1498,-507,-318,1613.1,422,98,44,-432.2,,,
352,-1885,-143,-676,2007.6,-1471,-16,-657,1611.1,414,127,19,-396.5,,,
353,-1587,217,-1101,1943.7,-1175,343,-1077,1630.4,412,126,24,-313.3,,,
354,-1340,383,-1265,1882.2,-936,505,-1260,1648.9,404,122,5,-233.3,,,
355,-1142,527,-1368,1858.3,-726,627,-1353,1658.6,416,100,15,-199.8,,,
356,-1047,641,-1385,1850.8,-632,753,-1345,1666.0,415,112,40,-184.8,,,
357,-1035,731,-1323,1831.9,-637,825,-1301,1667.0,398,94,22,-164.9,,,
358,-1022,795,-1303,1836.9,-612,905,-1260,1667.7,410,110,43,-169.2,,,
359,-960,932,-1217,1808.7,-562,1021,-1200,1672.8,398,89,17,-135.9,,,
360,-800,1051,-1182,1772.5,-402,1147,-1147,1671.2,398,96,35,-101.3,,,
361,-610,1187,-1045,1695.0,-241,1291,-1020,1662.9,369,104,25,-32.1,,,
362,-482,1270,-982,1676.2,-113,1373,-936,1665.5,369,103,46,-10.6,,,
363,-235,1267,-1022,1644.7,183,1351,-983,1680.8,418,84,39,36.1,,,
364,65,1245,-1000,1598.2,467,1326,-946,1694.5,402,81,54,96.3,,,
365,160,1230,-980,1580.8,557,1316,-923,1701.2,397,86,57,120.4,,,
366,165,1281,-868,1556.2,560,1378,-818,1697.5,395,97,50,141.4,,,
367,162,1416,-648,1565.6,550,1497,-605,1705.7,388,81,43,140.1,,,
368,102,1550,-258,1574.6,460,1643,-186,1716.3,358,93,72,141.7,,,
369,15,1530,355,1570.7,375,1621,438,1720.5,360,91,83,149.8,,,
370,-237,1270,901,1575.1,98,1371,982,1689.3,335,101,81,114.2,,,
371,-800,751,1205,1629.7,-467,885,1256,1605.9,333,134,51,-23.9,,,
372,-1430,182,1045,1780.5,-1015,381,1108,1550.2,415,199,63,-230.3,,,
373,-1877,-180,421,1932.0,-1471,-13,490,1550.5,406,167,69,-381.5,,,
374,-1975,-287,-263,2013.0,-1583,-131,-242,1606.7,392,156,21,-406.3,,,
375,-1852,-250,-752,2014.4,-1451,-116,-717,1622.6,401,134,35,-391.8,,,
376,-1712,-207,-1035,2011.2,-1272,-76,-1013,1627.9,440,131,22,-383.4,,,
377,-1517,-167,-1242,1967.7,-1085,-51,-1233,1643.2,432,116,9,-324.5,,,
378,-1210,-103,-1472,1908.3,-781,0,-1445,1642.6,429,103,27,-265.7,,,
379,-992,-48,-1568,1856.1,-570,36,-1525,1628.4,422,84,43,-227.6,,,
380,-772,-31,-1637,1810.2,-325,56,-1606,1639.5,447,87,31,-170.7,,,
381,-627,-13,-1632,1748.3,-196,61,-1623,1635.9,431,74,9,-112.4,,,
382,-795,48,-1578,1767.6,-385,158,-1543,1598.1,410,110,35,-169.5,,,
383,-1047,416,-1368,1772.2,-612,490,-1373,1581.1,435,74,-5,-191.1,,,
384,-1185,701,-1081,1750.5,-778,793,-1087,1554.3,407,92,-6,-196.2,,,
385,-1185,887,-898,1731.3,-798,996,-863,1540.6,387,109,35,-190.7,,,
386,-1145,988,-805,1713.2,-741,1098,-768,1531.2,404,110,37,-182.1,,,
387,-1050,1071,-765,1683.7,-651,1195,-737,1547.6,399,124,28,-136.1,,,
388,-1057,1122,-651,1673.3,-678,1230,-616,1533.6,379,108,35,-139.7,,,
389,-1092,1175,-402,1653.7,-716,1296,-368,1525.7,376,121,34,-128.0,,,
390,-1090,1215,-122,1636.8,-716,1358,-86,1537.6,374,143,36,-99.2,,,
391,-1042,1200,266,1611.4,-676,1326,305,1519.3,366,126,39,-92.1,,,
392,-922,1150,547,1572.2,-550,1286,600,1521.9,372,136,53,-50.3,,,
393,-732,1101,762,1526.0,-375,1232,792,1511.9,357,131,30,-14.1,,,
394,-607,1031,878,1484.0,-256,1162,917,1502.2,351,131,39,18.2,,,
395,-517,976,903,1426.6,-176,1103,957,1470.9,341,127,54,44.2,,,
396,-492,885,938,1380.3,-131,1023,983,1424.8,361,138,45,44.5,,,
397,-545,736,992,1350.1,-211,867,1045,1374.1,334,131,53,24.0,,,
398,-645,565,1045,1351.8,-266,696,1087,1317.9,379,131,42,-33.9,,,
399,-675,403,1073,1330.2,-318,542,1121,1285.1,357,139,48,-45.1,,,
400,-785,170,1083,1348.3,-412,312,1128,1240.8,373,142,45,-107.6,,,
401,-952,0,1047,1415.1,-585,121,1066,1222.0,367,121,19,-193.1,,,
402,-1182,-270,891,1504.6,-813,-138,905,1224.4,369,132,14,-280.3,,,
403,-1447,-585,483,1633.8,-1050,-443,513,1249.8,397,142,30,-384.0,,,
404,-1577,-681,11,1717.8,-1160,-535,28,1277.7,417,146,17,-440.1,,,
405,-1580,-612,-375,1735.4,-1157,-490,-326,1298.1,423,122,49,-437.3,,,
406,-1540,-520,-577,1724.8,-1117,-396,-552,1307.4,423,124,25,-417.4,,,
407,-1477,-446,-770,1724.3,-1047,-331,-748,1328.6,430,115,22,-395.7,,,
408,-1407,-388,-911,1720.5,-980,-275,-900,1358.7,427,113,11,-361.8,,,
409,-1252,-310,-1123,1710.2,-828,-207,-1105,1396.2,424,103,18,-314.0,,,
410,-1120,-217,-1266,1704.2,-691,-111,-1230,1415.2,429,106,36,-289.0,,,
411,-1110,-91,-1288,1702.7,-656,6,-1258,1418.8,454,97,30,-284.0,,,
412,-1127,153,-1265,1701.1,-706,245,-1222,1432.4,421,92,43,-268.7,,,
413,-1252,482,-1000,1673.3,-841,595,-982,1423.2,411,113,18,-250.0,,,
414,-1377,698,-585,1650.9,-987,825,-542,1395.9,390,127,43,-255.0,,,
415,-1447,746,-233,1644.6,-1082,880,-203,1409.4,365,134,30,-235.2,,,
416,-1415,748,231,1617.1,-1052,882,242,1394.0,363,134,11,-223.1,,,
417,-1430,627,486,1635.3,-1072,795,496,1423.8,358,168,10,-211.5,,,
418,-1405,532,681,1649.5,-1040,658,725,1428.4,365,126,44,-221.1,,,
419,-1402,353,832,1668.1,-1047,500,863,1446.0,355,147,31,-222.0,,,
420,-1612,143,663,1748.9,-1265,287,681,1465.0,347,144,18,-283.8,,,
421,-1790,0,335,1821.1,-1413,151,362,1466.4,377,151,27,-354.6,,,
422,-1852,-23,-157,1858.8,-1456,91,-146,1466.1,396,114,11,-392.7,,,
423,-1585,56,-913,1830.0,-1187,170,-876,1485.0,398,114,37,-345.0,,,
424,-1017,156,-1377,1718.9,-607,262,-1368,1519.4,410,106,9,-199.6,,,
425,-677,103,-1521,1668.0,-258,180,-1483,1516.0,419,77,38,-152.0,,,
426,-915,-86,-1452,1718.4,-482,18,-1416,1495.9,433,104,36,-222.5,,,
427,-1400,-180,-1118,1800.6,-936,-56,-1126,1465.3,464,124,-8,-335.3,,,
428,-1712,-230,-600,1828.6,-1283,-98,-610,1424.0,429,132,-10,-404.6,,,
429,-1785,-237,26,1800.9,-1386,-106,52,1391.0,399,131,26,-409.8,,,
430,-1570,-190,658,1712.9,-1170,-51,672,1350.2,400,139,14,-362.7,,,
431,-1177,-58,1037,1569.7,-786,68,1076,1334.2,391,126,39,-235.5,,,
432,-945,-33,1156,1493.5,-570,93,1191,1323.6,375,126,35,-169.8,,,
433,-1232,-207,941,1564.0,-828,-56,972,1278.1,404,151,31,-285.9,,,
434,-1532,-393,491,1656.1,-1140,-257,518,1278.3,392,136,27,-377.8,,,
435,-1617,-610,-73,1729.8,-1205,-476,-57,1296.9,412,134,16,-432.9,,,
436,-1395,-728,-693,1719.4,-962,-612,-655,1314.9,433,116,38,-404.5,,,
437,-1055,-738,-1027,1646.9,-582,-643,-1001,1324.5,473,95,26,-322.5,,,
438,-635,-753,-1172,1531.0,-216,-676,-1140,1342.8,419,77,32,-188.1,,,
439,-490,-783,-1172,1492.2,-51,-678,-1121,1311.1,439,105,51,-181.2,,,
440,-402,-860,-1086,1442.4,33,-793,-1056,1321.0,435,67,30,-121.4,,,
441,-477,-900,-1056,1467.2,-26,-820,-1008,1299.7,451,80,48,-167.5,,,
442,-695,-917,-997,1522.5,-258,-822,-943,1277.3,437,95,54,-245.2,,,
443,-962,-865,-923,1589.2,-517,-761,-888,1278.7,445,104,35,-310.6,,,
444,-1242,-656,-810,1621.4,-833,-522,-780,1254.9,409,134,30,-366.5,,,
445,-1500,-287,-610,1644.5,-1095,-167,-576,1248.5,405,120,34,-396.1,,,
446,-1562,53,-426,1619.9,-1152,182,-393,1230.7,410,129,33,-389.2,,,
447,-1545,295,-202,1585.8,-1172,443,-153,1262.2,373,148,49,-323.6,,,
448,-1525,383,68,1573.8,-1122,500,112,1233.5,403,117,44,-340.4,,,
449,-1472,353,320,1547.2,-1097,487,328,1244.3,375,134,8,-302.9,,,
450,-1437,170,508,1533.6,-1052,341,516,1220.3,385,171,8,-313.3,,,
451,-1382,-56,671,1537.3,-992,56,706,1218.9,390,112,35,-318.4,,,
452,-1325,-331,731,1549.0,-941,-192,730,1206.3,384,139,-1,-342.7,,,
453,-1277,-607,661,1560.8,-848,-476,686,1190.1,429,131,25,-370.7,,,
454,-1170,-825,545,1531.8,-756,-701,566,1176.1,414,124,21,-355.7,,,
455,-1105,-981,390,1528.2,-683,-857,431,1177.6,422,124,41,-350.6,,,
456,-1060,-1096,213,1539.5,-632,-971,245,1184.2,428,125,32,-355.4,,,
457,-1062,-1140,21,1558.2,-643,-1023,57,1209.6,419,117,36,-348.5,,,
458,-1115,-1120,-216,1595.1,-686,-1013,-193,1238.6,429,107,23,-356.5,,,
459,-1125,-1053,-461,1608.4,-696,-942,-422,1244.9,429,111,39,-363.5,,,
460,-1147,-968,-615,1622.0,-713,-880,-595,1279.4,434,88,20,-342.6,,,
461,-1145,-867,-797,1642.5,-716,-766,-753,1290.9,429,101,44,-351.6,,,
462,-1105,-786,-901,1628.1,-686,-683,-868,1300.2,419,103,33,-327.9,,,
463,-1102,-738,-948,1630.3,-661,-643,-922,1304.0,441,95,26,-326.2,,,
464,-1030,-615,-1053,1596.2,-605,-517,-1032,1303.2,425,98,21,-293.0,,,
465,-810,-441,-1220,1529.4,-367,-336,-1202,1300.9,443,105,18,-228.5,,,
466,-557,-477,-1271,1467.4,-123,-393,-1243,1309.4,434,84,28,-157.9,,,
467,-440,-575,-1257,1450.6,3,-482,-1222,1313.6,443,93,35,-137.0,,,
468,-585,-656,-1202,1489.1,-143,-580,-1165,1309.2,442,76,37,-179.9,,,
469,-787,-597,-1133,1503.2,-340,-510,-1095,1254.9,447,87,38,-248.3,,,
470,-1035,-346,-1086,1539.6,-607,-250,-1063,1249.4,428,96,23,-290.2,,,
471,-1147,-61,-1027,1540.8,-726,51,-1011,1245.7,421,112,16,-295.1,,,
472,-1257,315,-846,1547.6,-836,398,-837,1248.1,421,83,9,-299.4,,,
473,-1252,575,-671,1532.4,-868,706,-628,1283.1,384,131,43,-249.4,,,
474,-1225,728,-570,1534.8,-826,852,-532,1300.5,399,124,38,-234.3,,,
475,-1237,810,-508,1563.4,-846,932,-475,1345.3,391,122,33,-218.1,,,
476,-1307,793,-420,1585.4,-936,935,-376,1375.4,371,142,44,-210.0,,,
477,-1422,763,-288,1639.3,-1040,890,-251,1391.7,382,127,37,-247.6,,,
478,-1567,627,-120,1692.0,-1195,758,-78,1417.3,372,131,42,-274.8,,,
479,-1717,356,122,1757.8,-1346,476,151,1435.7,371,120,29,-322.1,,,
480,-1810,-103,283,1834.9,-1431,43,308,1464.4,379,146,25,-370.5,,,
481,-1807,-605,303,1929.5,-1398,-461,321,1506.6,409,144,18,-422.9,,,
482,-1710,-1016,117,1992.5,-1288,-817,188,1536.8,422,199,71,-455.7,,,
483,-1600,-1182,-400,2029.1,-1177,-1066,-313,1618.5,423,116,87,-410.5,,,
484,-1470,-981,-921,1992.9,-1037,-847,-922,1625.7,433,134,-1,-367.2,,,
485,-1350,-641,-1262,1956.0,-911,-517,-1231,1616.3,439,124,31,-339.7,,,
486,-1235,-441,-1422,1934.4,-776,-331,-1395,1630.3,459,110,27,-304.1,,,
487,-1052,-368,-1531,1893.7,-617,-285,-1507,1653.2,435,83,24,-240.5,,,
488,-802,-456,-1642,1883.4,-360,-376,-1606,1688.3,442,80,36,-195.2,,,
489,-702,-612,-1670,1912.1,-253,-537,-1635,1739.4,449,75,35,-172.7,,,
490,-725,-778,-1597,1918.7,-261,-678,-1580,1739.0,464,100,17,-179.7,,,
491,-732,-832,-1585,1934.0,-263,-738,-1551,1737.6,469,94,34,-196.3,,,
492,-955,-817,-1470,1934.0,-512,-711,-1443,1688.2,443,106,27,-245.8,,,
493,-1220,-471,-1397,1913.6,-763,-388,-1383,1626.5,457,83,14,-287.1,,,
494,-1402,-81,-1271,1894.1,-962,-6,-1262,1586.9,440,75,9,-307.2,,,
495,-1542,305,-1020,1873.8,-1142,416,-1001,1574.6,400,111,19,-299.3,,,
496,-1602,570,-755,1860.5,-1205,711,-738,1581.8,397,141,17,-278.6,,,
497,-1622,746,-521,1859.8,-1240,885,-462,1591.9,382,139,59,-267.9,,,
498,-1722,723,-172,1875.5,-1343,862,-126,1600.8,379,139,46,-274.7,,,
499,-1830,550,137,1915.8,-1451,696,172,1618.5,379,146,35,-297.3,,,
500,-1920,255,360,1970.0,-1553,391,388,1647.8,367,136,28,-322.2,,,
501,-2025,-290,355,2076.2,-1635,-108,371,1680.0,390,182,16,-396.2,,,
502,-1987,-726,202,2125.1,-1593,-605,220,1718.2,394,121,18,-406.9,,,
503,-1955,-925,-165,2169.1,-1536,-793,-141,1734.4,419,132,24,-434.7,,,
504,-1920,-897,-523,2182.8,-1501,-768,-448,1744.6,419,129,75,-438.2,,,
505,-1812,-651,-948,2146.1,-1416,-550,-857,1744.1,396,101,91,-402.0,,,
506,-1630,-343,-1245,2079.6,-1212,-235,-1236,1747.0,418,108,9,-332.6,,,
507,-1455,-123,-1432,2045.2,-1020,-13,-1421,1749.2,435,110,11,-296.0,,,
508,-1225,-28,-1607,2020.9,-781,78,-1570,1755.3,444,106,37,-265.6,,,
509,-982,-71,-1756,2013.2,-542,18,-1717,1800.6,440,89,39,-212.6,,,
510,-807,-232,-1837,2019.8,-365,-143,-1808,1850.0,442,89,29,-169.8,,,
511,-862,-252,-1832,2040.3,-430,-158,-1798,1855.4,432,94,34,-184.8,,,
512,-895,-158,-1805,2020.9,-462,-66,-1772,1832.4,433,92,33,-188.5,,,
513,-1150,-33,-1655,2015.6,-736,76,-1623,1783.7,414,109,32,-231.9,,,
514,-1400,172,-1452,2024.3,-972,292,-1436,1758.4,428,120,16,-265.9,,,
515,-1575,456,-1158,2007.4,-1155,545,-1150,1718.6,420,89,8,-288.8,,,
516,-1715,587,-827,1992.4,-1298,678,-842,1689.2,417,91,-15,-303.2,,,
517,-1755,701,-550,1968.2,-1383,822,-535,1695.5,372,121,15,-272.8,,,
518,-1800,713,-357,1968.7,-1433,842,-355,1699.6,367,129,2,-269.2,,,
519,-1920,540,-210,2005.5,-1553,673,-198,1704.1,367,133,12,-301.4,,,
520,-2057,245,-155,2077.3,-1675,371,-136,1721.0,382,126,19,-356.4,,,
521,-2137,-212,-41,2147.9,-1752,-71,-21,1753.6,385,141,20,-394.3,,,
522,-2125,-693,-238,2247.8,-1717,-570,-240,1825.0,408,123,-2,-422.8,,,
523,-1982,-910,-711,2293.9,-1563,-771,-720,1885.7,419,139,-9,-408.2,,,
524,-1782,-882,-1175,2309.6,-1328,-793,-1176,1943.0,454,89,-1,-366.5,,,
525,-1547,-837,-1450,2279.5,-1112,-748,-1457,1979.6,435,89,-7,-299.9,,,
526,-1552,-748,-1470,2264.8,-1110,-651,-1450,1938.7,442,97,20,-326.1,,,
527,-1652,-562,-1427,2254.2,-1197,-473,-1421,1917.2,455,89,6,-336.9,,,
528,-1800,-446,-1288,2257.8,-1378,-336,-1275,1907.2,422,110,13,-350.6,,,
529,-1890,-463,-1185,2278.3,-1471,-356,-1176,1916.7,419,107,9,-361.7,,,
530,-1870,-560,-1227,2305.7,-1456,-436,-1207,1940.8,414,124,20,-364.8,,,
531,-1730,-703,-1390,2327.9,-1316,-597,-1376,1995.4,414,106,14,-332.5,,,
532,-1535,-678,-1587,2309.6,-1077,-565,-1587,1999.4,458,113,0,-310.2,,,
533,-1312,-625,-1733,2261.7,-851,-535,-1712,1985.3,461,90,21,-276.4,,,
534,-1110,-562,-1810,2196.4,-651,-468,-1788,1959.5,459,94,22,-236.8,,,
535,-1035,-487,-1815,2145.4,-587,-391,-1782,1916.5,448,96,33,-228.9,,,
536,-1045,-480,-1773,2113.3,-595,-396,-1755,1895.0,450,84,18,-218.3,,,
537,-1052,-555,-1731,2100.3,-600,-458,-1692,1852.7,452,97,39,-247.5,,,
538,-925,-627,-1746,2073.0,-500,-520,-1717,1862.4,425,107,29,-210.6,,,
539,-970,-723,-1768,2142.3,-520,-622,-1723,1904.2,450,101,45,-238.1,,,
540,-787,-635,-1887,2140.9,-320,-545,-1856,1960.7,467,90,31,-180.2,,,
541,-742,-728,-2020,2271.8,-256,-635,-1988,2102.6,486,93,32,-169.2,,,
542,-657,-788,-2141,2374.1,-146,-716,-2132,2253.8,511,72,9,-120.4,,,
543,-657,-793,-2232,2458.1,-136,-746,-2233,2358.2,521,47,-1,-99.9,,,
544,-860,-1018,-2133,2515.1,-337,-976,-2153,2387.8,523,42,-20,-127.3,,,
545,-915,-890,-2027,2395.4,-440,-845,-2062,2271.4,475,45,-35,-124.0,,,
546,-1202,-915,-1763,2321.7,-826,-880,-1786,2155.6,376,35,-23,-166.1,,,
547,-1307,-1006,-1647,2330.9,-908,-956,-1663,2122.3,399,50,-16,-208.6,,,
548,-1430,-537,-1721,2301.1,-1067,-530,-1767,2131.1,363,7,-46,-170.0,,,
549,-1467,-111,-1711,2256.5,-1105,-38,-1752,2071.7,362,73,-41,-184.8,,,
550,-1467,-11,-1662,2216.9,-1140,76,-1736,2078.2,327,87,-74,-138.6,,,
551,-1477,-6,-1686,2241.5,-1137,83,-1741,2081.0,340,89,-55,-160.4,,,
552,-1470,-13,-1686,2236.9,-1132,81,-1733,2071.5,338,94,-47,-165.3,,,
553,-1465,-18,-1691,2237.4,-1132,68,-1755,2089.5,333,86,-64,-147.9,,,
554,-1465,-11,-1696,2241.2,-1132,83,-1733,2071.6,333,94,-37,-169.5,,,
555,-1475,-6,-1693,2245.4,-1125,73,-1748,2080.0,350,79,-55,-165.4,,,
556,-1462,-8,-1682,2228.6,-1122,81,-1738,2070.3,340,89,-56,-158.3,,,
557,-1470,-13,-1675,2228.6,-1137,83,-1743,2082.7,333,96,-68,-145.9,,,
558,-1490,0,-1685,2249.3,-1135,76,-1746,2083.9,355,76,-61,-165.4,,,
559,-1482,-23,-1680,2240.4,-1130,71,-1748,2082.7,352,94,-68,-157.7,,,
560,-1475,-3,-1703,2253.0,-1142,81,-1760,2099.6,333,84,-57,-153.4,,,
561,-1472,-1,-1688,2239.7,-1117,93,-1748,2076.5,355,94,-60,-163.2,,,
562,-1477,-23,-1677,2234.8,-1125,81,-1760,2090.4,352,104,-83,-144.4,,,
563,-1472,-16,-1685,2237.5,-1122,83,-1751,2081.3,350,99,-66,-156.2,,,
564,-1467,-11,-1682,2231.9,-1137,83,-1751,2089.4,330,94,-69,-142.5,,,
565,-1480,-13,-1691,2247.2,-1130,81,-1741,2077.1,350,94,-50,-170.1,,,
566,-1465,0,-1682,2230.5,-1125,83,-1733,2067.8,340,83,-51,-162.7,,,
567,-1465,-6,-1693,2238.9,-1132,81,-1733,2071.5,333,87,-40,-167.3,,,
568,-1477,-3,-1703,2254.3,-1137,86,-1741,2081.2,340,89,-38,-173.1,,,
569,-1470,-3,-1667,2222.6,-1130,91,-1746,2081.8,340,94,-79,-140.8,,,
570,-1477,-3,-1682,2238.5,-1145,73,-1748,2090.9,332,76,-66,-147.6,,,
571,-1457,-1,-1698,2237.4,-1127,91,-1733,2069.2,330,92,-35,-168.2,,,
572,-1465,-18,-1685,2232.9,-1132,78,-1731,2069.8,333,96,-46,-163.1,,,
573,-1470,3,-1682,2233.8,-1115,93,-1751,2077.9,355,90,-69,-155.9,,,
574,-1472,-23,-1677,2231.5,-1135,81,-1746,2084.1,337,104,-69,-147.5,,,
575,-1455,-18,-1680,2222.6,-1140,68,-1751,2090.5,315,86,-71,-132.0,,,
576,-1467,0,-1670,2222.8,-1117,86,-1733,2063.6,350,86,-63,-159.3,,,
577,-1460,-11,-1686,2230.3,-1135,86,-1733,2073.4,325,97,-47,-156.9,,,
578,-1465,-13,-1688,2235.1,-1135,83,-1738,2077.4,330,96,-50,-157.7,,,
579,-1467,-8,-1677,2228.1,-1117,83,-1736,2066.0,350,91,-59,-162.1,,,
580,-1472,-11,-1688,2239.7,-1135,86,-1733,2073.4,337,97,-45,-166.3,,,
581,-1470,-3,-1675,2228.6,-1140,73,-1736,2078.1,330,76,-61,-150.4,,,
582,-1475,-18,-1682,2237.2,-1127,88,-1741,2075.8,348,106,-59,-161.4,,,
583,-1472,-11,-1680,2233.7,-1130,81,-1738,2074.6,342,92,-58,-159.0,,,
584,-1475,-18,-1703,2253.0,-1137,78,-1748,2086.7,338,96,-45,-166.3,,,
585,-1475,-8,-1691,2243.9,-1127,81,-1736,2071.3,348,89,-45,-172.6,,,
586,-1470,-21,-1688,2238.5,-1130,93,-1748,2083.5,340,114,-60,-154.9,,,
587,-1475,0,-1680,2235.6,-1130,73,-1728,2066.0,345,73,-48,-169.7,,,
588,-1470,-1,-1691,2240.6,-1137,83,-1733,2074.4,333,84,-42,-166.3,,,
589,-1475,-3,-1670,2228.1,-1137,86,-1738,2078.7,338,89,-68,-149.5,,,
590,-1465,-16,-1691,2237.4,-1142,78,-1736,2079.4,323,94,-45,-158.0,,,
591,-1467,-3,-1685,2234.1,-1127,83,-1738,2073.1,340,86,-53,-161.0,,,
592,-1480,-21,-1677,2236.8,-1135,83,-1746,2084.1,345,104,-69,-152.6,,,
593,-1477,-3,-1680,2236.9,-1132,83,-1746,2082.5,345,86,-66,-154.4,,,
594,-1472,-3,-1677,2231.4,-1115,93,-1721,2052.7,357,96,-44,-178.7,,,
595,-1477,-6,-1675,2233.2,-1130,76,-1738,2074.4,347,82,-63,-158.8,,,
596,-1467,-6,-1686,2234.9,-1142,76,-1751,2091.9,325,82,-65,-143.0,,,
597,-1477,0,-1691,2245.2,-1120,83,-1746,2076.0,357,83,-55,-169.2,,,
598,-1482,-11,-1693,2250.0,-1142,86,-1751,2092.3,340,97,-58,-157.8,,,
599,-1480,-13,-1696,2251.0,-1140,81,-1746,2086.8,340,94,-50,-164.2,,,
600,-1475,0,-1693,2245.4,-1140,71,-1752,2091.4,335,71,-59,-154.0,,,
601,-1487,-11,-1682,2245.1,-1140,73,-1748,2088.2,347,84,-66,-156.9,,,
602,-1470,-8,-1703,2249.7,-1135,91,-1743,2082.0,335,99,-40,-167.7,,,
603,-1480,-13,-1693,2248.7,-1142,68,-1755,2094.9,338,81,-62,-153.8,,,
604,-1480,-6,-1691,2247.2,-1135,86,-1736,2075.9,345,92,-45,-171.3,,,
605,-1470,-16,-1680,2232.4,-1132,81,-1741,2078.2,338,97,-61,-154.2,,,
606,-1472,-11,-1686,2238.2,-1140,81,-1741,2082.6,332,92,-55,-155.6,,,
607,-1485,-16,-1680,2242.3,-1132,81,-1748,2084.1,353,97,-68,-158.2,,,
608,-1462,-11,-1675,2223.3,-1132,88,-1733,2071.8,330,99,-58,-151.5,,,
