i,X1,Y1,Z1,M1,X2,Y2,Z2,M2,XDIFF,YDIFF,ZDIFF,MDIFF,420,116,8
68,-1415,-51,-1561,2107.5,-970,51,-1537,1818.2,445,102,24,-289.3,,,
69,-1432,-56,-1568,2124.2,-980,41,-1537,1823.3,452,97,31,-300.9,,,
70,-1402,-81,-1536,2081.2,-997,28,-1535,1830.6,405,109,1,-250.6,,,
71,-1400,-71,-1551,2090.6,-990,31,-1537,1828.5,410,102,14,-262.1,,,
72,-1417,-81,-1541,2095.0,-987,21,-1537,1826.7,430,102,4,-268.3,,,
73,-1442,-63,-1516,2093.2,-1035,18,-1510,1830.8,407,81,6,-262.5,,,
74,-1480,-33,-1470,2086.2,-1072,76,-1465,1816.9,408,109,5,-269.3,,,
75,-1567,23,-1382,2089.5,-1147,128,-1383,1801.3,420,105,-1,-288.2,,,
76,-1557,51,-1377,2079.2,-1150,160,-1358,1786.7,407,109,19,-292.5,,,
77,-1555,71,-1377,2078.3,-1132,175,-1363,1780.4,423,104,14,-297.9,,,
78,-1527,66,-1392,2067.3,-1120,175,-1383,1788.2,407,109,9,-279.1,,,
79,-1517,93,-1395,2063.0,-1100,197,-1387,1781.2,417,104,8,-281.8,,,
80,-1482,71,-1415,2050.3,-1082,177,-1402,1779.8,400,106,13,-270.5,,,
81,-1477,61,-1435,2060.2,-1065,170,-1416,1779.9,412,109,19,-280.3,,,
82,-1442,58,-1447,2043.7,-1057,177,-1428,1785.4,385,119,19,-258.2,,,
83,-1442,68,-1475,2063.9,-1025,182,-1450,1785.0,417,114,25,-278.9,,,
84,-1432,53,-1476,2057.2,-1022,167,-1445,1777.8,410,114,31,-279.4,,,
85,-1400,78,-1475,2035.1,-1000,177,-1465,1782.6,400,99,10,-252.5,,,
86,-1400,73,-1486,2042.9,-987,165,-1478,1784.9,413,92,8,-258.0,,,
87,-1400,61,-1476,2035.3,-992,182,-1476,1787.7,408,121,0,-247.6,,,
88,-1410,71,-1476,2042.5,-1005,182,-1467,1787.5,405,111,9,-255.0,,,
89,-1407,78,-1472,2037.8,-1005,170,-1470,1788.8,402,92,2,-249.0,,,
90,-1427,53,-1483,2058.7,-1012,158,-1457,1781.0,415,105,26,-277.7,,,
91,-1437,61,-1483,2065.9,-1037,175,-1457,1796.9,400,114,26,-269.0,,,
92,-1430,31,-1496,2069.8,-1005,146,-1472,1788.3,425,115,24,-281.4,,,
93,-1420,16,-1503,2067.8,-1007,126,-1475,1790.4,413,110,28,-277.4,,,
94,-1435,18,-1488,2067.3,-1002,118,-1467,1780.5,433,100,21,-286.8,,,
95,-1412,18,-1478,2044.2,-1027,128,-1472,1799.4,385,110,6,-244.7,,,
96,-1427,-1,-1475,2052.3,-1025,106,-1475,1799.3,402,107,0,-253.0,,,
97,-1462,18,-1440,2052.2,-1050,126,-1416,1767.3,412,108,24,-284.8,,,
98,-1560,96,-1348,2064.0,-1130,180,-1330,1754.5,430,84,18,-309.5,,,
99,-1627,156,-1227,2043.8,-1210,280,-1198,1725.6,417,124,29,-318.2,,,
100,-1672,220,-1088,2006.9,-1275,358,-1068,1701.3,397,138,20,-305.6,,,
101,-1727,265,-1005,2015.6,-1318,393,-986,1692.3,409,128,19,-323.4,,,
